iter	Passed	Remaining
727	7585	2833
728	7597	2824
729	7608	2813
730	7619	2803
731	7630	2793
732	7641	2783
733	7653	2773
734	7663	2763
735	7675	2753
736	7685	2742
737	7695	2732
738	7707	2722
739	7717	2711
740	7730	2701
741	7741	2691
742	7750	2680
743	7761	2670
744	7771	2659
745	7780	2649
746	7790	2638
747	7802	2628
748	7810	2617
749	7821	2607
750	7830	2596
751	7842	2586
752	7853	2576
753	7862	2565
754	7874	2555
755	7885	2545
756	7894	2534
757	7906	2524
758	7917	2514
759	7926	2503
760	7936	2492
761	7947	2482
762	7956	2471
763	7966	2460
764	7976	2450
765	7985	2439
766	7995	2428
767	8005	2418
768	8014	2407
769	8024	2396
770	8036	2387
771	8044	2375
772	8054	2365
773	8063	2354
774	8073	2344
775	8083	2333
776	8092	2322
777	8101	2311
778	8110	2300
779	8120	2290
780	8130	2279
781	8141	2269
782	8153	2259
783	8166	2250
784	8178	2240
785	8192	2230
786	8205	2220
787	8218	2210
788	8227	2200
789	8237	2189
790	8246	2179
791	8256	2168
792	8268	2158
793	8277	2147
794	8287	2137
795	8297	2126
796	8306	2115
797	8317	2105
798	8325	2094
799	8337	2084
800	8349	2074
801	8358	2063
802	8369	2053
803	8378	2042
804	8387	2031
805	8399	2021
806	8408	2010
807	8419	2000
808	8428	1989
809	8440	1979
810	8450	1969
811	8460	1958
812	8469	1948
813	8480	1937
814	8492	1927
815	8502	1917
816	8513	1906
817	8523	1896
818	8534	1886
819	8548	1876
820	8558	1865
821	8569	1855
822	8581	1845
823	8593	1835
824	8602	1824
825	8613	1814
826	8624	1804
827	8635	1793
828	8646	1783
829	8654	1772
830	8663	1761
831	8674	1751
832	8683	1740
833	8693	1730
834	8705	1720
835	8714	1709
836	8725	1699
837	8735	1688
838	8744	1678
839	8754	1667
840	8764	1656
841	8773	1646
842	8782	1635
843	8793	1625
844	8803	1614
845	8813	1604
846	8822	1593
847	8832	1583
848	8844	1573
849	8854	1562
850	8865	1552
851	8874	1541
852	8883	1530
853	8894	1520
854	8902	1509
855	8912	1499
856	8921	1488
857	8932	1478
858	8943	1468
859	8952	1457
860	8961	1446
861	8974	1436
862	8984	1426
863	8993	1415
864	9003	1405
865	9013	1394
866	9022	1384
867	9033	1373
868	9043	1363
869	9053	1352
870	9062	1342
871	9072	1331
872	9082	1321
873	9092	1310
874	9102	1300
875	9110	1289
876	9120	1279
877	9130	1268
878	9140	1258
879	9149	1247
880	9158	1237
881	9168	1226
882	9177	1216
883	9188	1205
884	9197	1195
885	9206	1184
886	9214	1173
887	9225	1163
888	9235	1153
889	9243	1142
890	9252	1131
891	9263	1121
892	9273	1111
893	9283	1100
894	9293	1090
895	9306	1080
896	9317	1069
897	9328	1059
898	9337	1049
899	9348	1038
900	9359	1028
901	9371	1018
902	9382	1007
903	9394	997
904	9405	987
905	9417	977
906	9431	967
907	9442	956
908	9451	946
909	9460	935
910	9469	925
911	9477	914
912	9488	904
913	9502	894
914	9515	883
915	9528	873
916	9542	863
917	9554	853
918	9565	843
919	9575	832
920	9587	822
921	9598	812
922	9609	801
923	9622	791
924	9635	781
925	9647	770
926	9658	760
927	9670	750
928	9680	739
929	9689	729
930	9700	718
931	9712	708
932	9722	698
933	9732	687
934	9742	677
935	9754	666
936	9766	656
937	9777	646
938	9788	635
939	9802	625
940	9815	615
941	9827	605
942	9837	594
943	9849	584
944	9859	573
945	9870	563
946	9881	553
947	9891	542
948	9900	532
949	9911	521
950	9920	511
951	9930	500
952	9938	490
953	9949	479
954	9963	469
955	9972	458
956	9982	448
957	9991	438
958	10002	427
959	10012	417
960	10021	406
961	10030	396
962	10040	385
963	10049	375
964	10060	364
965	10068	354
966	10078	343
967	10087	333
968	10097	323
969	10109	312
970	10118	302
971	10128	291
972	10137	281
973	10147	270
974	10157	260
975	10166	250
976	10176	239
977	10187	229
978	10195	218
979	10205	208
980	10214	197
981	10224	187
982	10233	176
983	10243	166
984	10253	156
985	10262	145
986	10274	135
987	10282	124
988	10294	114
989	10304	104
990	10314	93
991	10323	83
992	10333	72
993	10341	62
994	10350	52
995	10359	41
996	10369	31
997	10379	20
998	10388	10
999	10396	0
